Journey:1,Start Time:,11:40:11
Lat,Lng,Time
35.160633,33.3469941,00:00:00
35.1606372,33.3469973,00:00:01
35.1606389,33.3469975,00:00:02
35.1606381,33.3469975,00:00:03
35.160636,33.3469962,00:00:04
35.160636,33.3469962,00:00:05
35.160636,33.3469962,00:00:06
35.1605674,33.3469615,00:00:07
35.16032,33.3468374,00:00:08
35.1602248,33.3467891,00:00:09
35.160168,33.3467592,00:00:10
35.1601309,33.3467409,00:00:11
35.160039,33.3466925,00:00:12
35.160039,33.3466925,00:00:13
35.160039,33.3466925,00:00:14
35.160039,33.3466925,00:00:15
35.160039,33.3466925,00:00:16
35.1599618,33.3475094,00:00:17
35.1599618,33.3475094,00:00:18
35.1599618,33.3475094,00:00:19
35.1599618,33.3475094,00:00:20
35.1599618,33.3475094,00:00:21
35.1599618,33.3475094,00:00:22
35.1600022,33.3482537,00:00:23
35.1600022,33.3482537,00:00:24
35.1600022,33.3482537,00:00:25
35.1600022,33.3482537,00:00:26
35.1600022,33.3482537,00:00:27
35.1600444,33.3487465,00:00:28
35.1600444,33.3487465,00:00:29
35.1600444,33.3487465,00:00:30
35.1600444,33.3487465,00:00:31
35.1600444,33.3487465,00:00:32
35.1599983,33.3492915,00:00:33
35.1599983,33.3492915,00:00:34
35.1599983,33.3492915,00:00:35
35.1594494,33.3496834,00:00:36
35.1594494,33.3496834,00:00:37
35.1594494,33.3496834,00:00:38
35.1594494,33.3496834,00:00:39
35.1591772,33.3499468,00:00:40
35.1591772,33.3499468,00:00:41
35.1591772,33.3499468,00:00:42
35.1591772,33.3499468,00:00:43
35.1591772,33.3499468,00:00:44
35.1589673,33.3504024,00:00:45
35.1589673,33.3504024,00:00:46
35.1589673,33.3504024,00:00:47
35.1589673,33.3504024,00:00:48
35.1589673,33.3504024,00:00:49
35.1589673,33.3504024,00:00:50
35.1592005,33.3503691,00:00:51
35.1592005,33.3503691,00:00:52
35.1592005,33.3503691,00:00:53
35.1592005,33.3503691,00:00:54
35.1592005,33.3503691,00:00:55
35.1596305,33.3502749,00:00:56
35.1596305,33.3502749,00:00:57
35.1596305,33.3502749,00:00:58
35.1596305,33.3502749,00:00:59
35.1596305,33.3502749,00:01:00
35.1600111,33.3502811,00:01:01
35.1600111,33.3502811,00:01:02
35.1600111,33.3502811,00:01:03
35.1600111,33.3502811,00:01:04
35.1600111,33.3502811,00:01:05
35.1603208,33.3504932,00:01:06
35.1603208,33.3504932,00:01:07
35.1603208,33.3504932,00:01:08
35.1603208,33.3504932,00:01:09
35.1603208,33.3504932,00:01:10
35.1605557,33.3507447,00:01:11
35.1613638,33.3510946,00:01:12
35.1613638,33.3510946,00:01:12
35.1613638,33.3510946,00:01:12
35.1613638,33.3510946,00:01:15
35.1613638,33.3510946,00:01:16
35.1613638,33.3510946,00:01:17
35.1613638,33.3510946,00:01:12
35.1613638,33.3510946,00:01:12
35.1613638,33.3510946,00:01:12
35.1613638,33.3510946,00:01:12
35.1613638,33.3510946,00:01:28
35.1613638,33.3510946,00:01:29
35.1616369,33.351103,00:01:30
35.1616369,33.351103,00:01:31
35.1616369,33.351103,00:01:32
35.1616369,33.351103,00:01:33
35.1618484,33.3511123,00:01:34
35.1618484,33.3511123,00:01:35
35.1618484,33.3511123,00:01:36
35.1618484,33.3511123,00:01:37
35.1618484,33.3511123,00:01:38
35.1620637,33.3512883,00:01:39
35.1620637,33.3512883,00:01:40
35.1620637,33.3512883,00:01:41
35.1620637,33.3512883,00:01:42
35.1620637,33.3512883,00:01:43
35.1620637,33.3512883,00:01:44
35.1622082,33.3514166,00:01:45
35.1622082,33.3514166,00:01:46
35.1622082,33.3514166,00:01:47
35.1622082,33.3514166,00:01:48
35.1622082,33.3514166,00:01:49
35.1623243,33.3515814,00:01:50
35.1623243,33.3515814,00:01:51
35.1623243,33.3515814,00:01:52
35.1623243,33.3515814,00:01:53
35.1623576,33.3516356,00:01:54
35.1623576,33.3516356,00:01:55
35.1623576,33.3516356,00:01:56
35.1623576,33.3516356,00:01:57
35.1623576,33.3516356,00:01:58
35.1623593,33.3516385,00:01:59
35.1623419,33.3516766,00:02:00
35.1623419,33.3516766,00:02:01
35.1623419,33.3516766,00:02:02
35.1623419,33.3516766,00:02:03
