Journey:1,Start Time:,11:38:58
Lat,Lng,Time
35.1607512,33.3467497,00:00:00
35.1607512,33.3467497,00:00:01
35.1607512,33.3467497,00:00:02
35.1607512,33.3467497,00:00:03
35.1607512,33.3467497,00:00:04
35.1604198,33.346712,00:00:05
35.1604198,33.346712,00:00:06
35.1604198,33.346712,00:00:07
35.1604198,33.346712,00:00:08
35.1604198,33.346712,00:00:09
35.1601149,33.3466899,00:00:10
35.1601149,33.3466899,00:00:11
35.1601149,33.3466899,00:00:12
35.1601149,33.3466899,00:00:13
35.1601149,33.3466899,00:00:14
35.1599791,33.3467143,00:00:15
35.1599791,33.3467143,00:00:16
35.1599791,33.3467143,00:00:17
35.1599791,33.3467143,00:00:18
35.1599791,33.3467143,00:00:19
35.1598969,33.3467297,00:00:20
35.1598969,33.3467285,00:00:21
35.1598969,33.3467285,00:00:22
35.1598969,33.3467285,00:00:23
35.1598969,33.3467285,00:00:24
35.1598805,33.3467168,00:00:25
35.1598805,33.3467168,00:00:26
35.1598805,33.3467168,00:00:27
35.1598805,33.3467168,00:00:28
35.1598805,33.3467168,00:00:29
35.159845,33.3466526,00:00:30
35.159845,33.3466526,00:00:31
35.159845,33.3466526,00:00:32
35.159845,33.3466526,00:00:33
35.159845,33.3466526,00:00:34
35.1598414,33.3464602,00:00:35
35.1598414,33.3464602,00:00:36
35.1598414,33.3464602,00:00:37
35.1598414,33.3464602,00:00:38
35.1598414,33.3464602,00:00:39
35.1598489,33.3464239,00:00:40
35.1598489,33.3464239,00:00:41
35.1598489,33.3464239,00:00:42
35.1598489,33.3464239,00:00:43
35.1598489,33.3464239,00:00:44
35.1598434,33.3464183,00:00:45
35.1598434,33.3464183,00:00:46
35.1598434,33.3464183,00:00:47
35.1598434,33.3464183,00:00:48
35.1598434,33.3464183,00:00:49
35.1598466,33.3464248,00:00:50
35.1598466,33.3464248,00:00:51
35.1598466,33.3464248,00:00:52
35.1598466,33.3464248,00:00:53
35.1598466,33.3464248,00:00:54
35.1598534,33.3464307,00:00:55
35.1598534,33.3464307,00:00:56
35.1598534,33.3464307,00:00:57
35.1598534,33.3464307,00:00:58
35.1598534,33.3464307,00:00:59
35.1598565,33.3464296,00:01:00
35.1598565,33.3464296,00:01:01
35.1598565,33.3464296,00:01:02
35.1598565,33.3464296,00:01:03
35.1598565,33.3464296,00:01:04
35.1598581,33.3464266,00:01:05
35.1598581,33.3464266,00:01:06
35.1598581,33.3464266,00:01:07
35.1598581,33.3464266,00:01:08
35.1598581,33.3464266,00:01:09
35.1598839,33.3460957,00:01:10
35.1598839,33.3460957,00:01:11
35.1598839,33.3460957,00:01:12
35.1598839,33.3460957,00:01:13
35.1598839,33.3460957,00:01:14
35.1596384,33.3458362,00:01:15
35.1596384,33.3458362,00:01:16
35.1596384,33.3458362,00:01:17
35.1596384,33.3458362,00:01:18
35.1596384,33.3458362,00:01:19
35.1591367,33.3456269,00:01:20
35.1591367,33.3456269,00:01:21
35.1591367,33.3456269,00:01:22
