Journey:1,Start Time:,12:12:49
Lat,Lng,Time
35.1568674,33.3149094,00:00:00
35.1568674,33.3149094,00:00:01
35.1568674,33.3149094,00:00:02
35.1568673,33.3149093,00:00:03
35.1568673,33.3149093,00:00:04
35.1568673,33.3149093,00:00:05
35.1568673,33.3149093,00:00:06
35.1568673,33.3149093,00:00:07
35.1568684,33.3149077,00:00:08
35.1568684,33.3149077,00:00:09
35.1568684,33.3149077,00:00:10
35.1568684,33.3149077,00:00:11
35.1568687,33.3149073,00:00:12
35.1568685,33.3149067,00:00:13
35.1568685,33.3149067,00:00:14
35.1568685,33.3149067,00:00:15
35.1568685,33.3149067,00:00:16
35.1568686,33.314906,00:00:17
35.156863,33.3149151,00:00:18
35.156863,33.3149151,00:00:19
35.156863,33.3149151,00:00:20
35.156863,33.3149151,00:00:21
35.156863,33.3149151,00:00:22
35.1568883,33.3149991,00:00:23
35.1568883,33.3149991,00:00:24
35.1568883,33.3149991,00:00:25
35.1568883,33.3149991,00:00:26
35.1568883,33.3149991,00:00:27
35.1569296,33.3150896,00:00:28
35.1569296,33.3150896,00:00:29
35.1569296,33.3150896,00:00:30
35.1569296,33.3150896,00:00:31
35.1569296,33.3150896,00:00:32
35.1569552,33.3151343,00:00:33
35.1569552,33.3151343,00:00:34
35.1569552,33.3151343,00:00:35
35.1569552,33.3151343,00:00:36
35.1570204,33.3150627,00:00:37
35.1569724,33.3150093,00:00:38
35.1569724,33.3150093,00:00:39
35.1569724,33.3150093,00:00:40
35.1569724,33.3150093,00:00:41
35.1569724,33.3150093,00:00:42
35.1569748,33.3149375,00:00:43
35.1569748,33.3149375,00:00:44
35.1569748,33.3149375,00:00:45
35.1569748,33.3149375,00:00:46
35.1569748,33.3149375,00:00:47
35.1569355,33.3148529,00:00:48
35.1569355,33.3148529,00:00:49
35.1569355,33.3148529,00:00:50
35.1569355,33.3148529,00:00:51
35.1569355,33.3148529,00:00:52
35.1567737,33.3147474,00:00:53
35.1567737,33.3147474,00:00:54
35.1567737,33.3147474,00:00:55
35.1567737,33.3147474,00:00:56
35.1567737,33.3147474,00:00:57
35.1567737,33.3147474,00:00:58
35.1567318,33.3147928,00:00:59
35.1567318,33.3147928,00:01:00
35.1567318,33.3147928,00:01:01
35.1567318,33.3147928,00:01:02
35.1567334,33.3148199,00:01:03
35.1567334,33.3148199,00:01:04
35.1567334,33.3148199,00:01:05
35.1567334,33.3148199,00:01:06
35.1567334,33.3148199,00:01:07
35.1567403,33.3148197,00:01:08
35.1567403,33.3148197,00:01:09
35.1567403,33.3148197,00:01:10
35.1567403,33.3148197,00:01:11
35.1567403,33.3148197,00:01:12
35.1567461,33.3148117,00:01:13
35.1567461,33.3148117,00:01:14
35.1567461,33.3148117,00:01:15
35.1567461,33.3148117,00:01:16
35.1567461,33.3148117,00:01:17
35.1567499,33.3148049,00:01:18
35.15675,33.3148048,00:01:19
35.15675,33.3148048,00:01:20
35.15675,33.3148048,00:01:21
35.15675,33.3148048,00:01:22
35.15675,33.3148048,00:01:23
35.1566975,33.3147302,00:01:24
35.1566975,33.3147302,00:01:25
35.1566975,33.3147302,00:01:26
35.1566975,33.3147302,00:01:27
35.1565176,33.3147835,00:01:28
35.1565176,33.3147835,00:01:29
35.1565176,33.3147835,00:01:30
35.1565176,33.3147835,00:01:31
35.1565176,33.3147835,00:01:32
35.1562584,33.3151145,00:01:33
35.1562584,33.3151145,00:01:34
35.1562584,33.3151145,00:01:35
35.1562584,33.3151145,00:01:36
35.1562584,33.3151145,00:01:37
35.1559878,33.3154641,00:01:38
35.1559878,33.3154641,00:01:39
35.1559878,33.3154641,00:01:40
35.1559878,33.3154641,00:01:41
35.1559878,33.3154641,00:01:42
35.1556136,33.3158922,00:01:43
35.1556136,33.3158922,00:01:44
35.1556136,33.3158922,00:01:45
35.1556136,33.3158922,00:01:46
35.1556136,33.3158922,00:01:47
35.1556136,33.3158922,00:01:48
35.1552352,33.3163139,00:01:49
35.1552352,33.3163139,00:01:50
35.1552352,33.3163139,00:01:51
35.1552352,33.3163139,00:01:52
35.1552352,33.3163139,00:01:53
35.1548153,33.3166084,00:01:54
35.1548153,33.3166084,00:01:55
35.1548153,33.3166084,00:01:56
35.1548153,33.3166084,00:01:57
35.1548153,33.3166084,00:01:58
35.1543856,33.3168676,00:01:59
35.1543856,33.3168676,00:02:00
35.1543856,33.3168676,00:02:01
35.1543856,33.3168676,00:02:02
35.1543856,33.3168676,00:02:03
35.1539056,33.3170957,00:02:04
35.1539056,33.3170957,00:02:05
35.1539056,33.3170957,00:02:06
35.1539056,33.3170957,00:02:07
35.1539056,33.3170957,00:02:08
35.1533691,33.3173142,00:02:09
35.1533691,33.3173142,00:02:10
35.1533691,33.3173142,00:02:11
35.1533691,33.3173142,00:02:12
35.1533691,33.3173142,00:02:13
35.1527477,33.3174652,00:02:14
35.1527477,33.3174652,00:02:15
35.1527477,33.3174652,00:02:16
35.1527477,33.3174652,00:02:17
35.1527477,33.3174652,00:02:18
35.1521152,33.3174836,00:02:19
35.1521152,33.3174836,00:02:20
35.1521152,33.3174836,00:02:21
35.1521152,33.3174836,00:02:22
35.1521152,33.3174836,00:02:23
35.1514382,33.317482,00:02:24
35.1514382,33.317482,00:02:25
35.1514382,33.317482,00:02:26
35.1514382,33.317482,00:02:27
35.1514382,33.317482,00:02:28
35.1506735,33.3174666,00:02:29
35.1506735,33.3174666,00:02:30
35.1506735,33.3174666,00:02:31
35.1506735,33.3174666,00:02:32
35.1506735,33.3174666,00:02:33
35.1499564,33.3174274,00:02:34
35.1499564,33.3174274,00:02:35
35.1499564,33.3174274,00:02:36
35.1499564,33.3174274,00:02:37
35.1499564,33.3174274,00:02:38
35.1492973,33.3174114,00:02:39
35.1492973,33.3174114,00:02:40
